accountId,accountNumber,name,customerTypeCode,paymentTermsCode,paymentTermsDays,parentAccountId,isICO,stateCode,VATIdentificationNumber,address1Country,bankAccountNumber
333,6323884755,Span,65862-013,5191210875,67,636,true,143026,Chevrolet,18903 Truax Way,tz1eqFj8qMLo9MXpxfTKpvnY6z1HmLJSHNmd
50,3616621445,Tresom,57237-027,3803182360,68,429,true,7621,Ford,378 Lillian Way,tz1gEK5z5b24GxaByZkdtdfuRAbjwMcZjrrV
849,0402175816,Fixflex,50114-4398,3983584969,56,901,true,,Infiniti,83 Comanche Center,tz1LezW91duZHe8j6WC3iRHnsPtvJKx8Eq2H
586,2063349894,Sonair,64058-442,4372119828,68,554,false,,Audi,742 Summit Trail,tz1YydPPHVmuMGnG7j9gqRRr1JYo3XPH9PLa
885,6647969969,Transcof,24385-307,7180055522,80,282,false,,Dodge,48084 Kinsman Point,tz1NsEJ9xVcsRMLDGkcU6JG2GYVgBe7VSbuR
477,8197195773,Konklab,0280-8005,9692355012,31,425,true,1950,Hyundai,1211 Melby Parkway,tz1MLjeozViomE8gBz4ruWLHVzp4WEfZau7y
527,9261803148,Tres-Zap,52125-383,0721250769,71,431,true,903 22,Suzuki,34 Blaine Hill,tz1LvyGkT4atjScywwbYUahJfX2RhSR9HU1v
908,0744068037,Voltsillam,0942-6453,7760761759,47,408,true,37810-000,Chevrolet,7 Sachs Way,tz1dVtfwA92Emz7W2xcAdUqnK5JLoSbkpGm9
772,2776354320,Temp,49993-861,8988332482,70,525,true,1930,Ford,25820 Hermina Court,tz1YcV11AsJAwwrmAKDTxDQzTGNjuoxixoRi
174,5762234770,Lotstring,55312-733,7407854319,86,46,true,,Volkswagen,9707 Onsgard Parkway,tz1PbAeXJf9FhTSeXP7wtaQVyt7D87WQEDZm
857,0071798374,Bitwolf,61657-0963,3760091652,45,709,false,6801,Ford,929 Arizona Junction,tz1L9FfNxxREL4M2fULq5SRPusoCtQXcXsH6
616,4515174878,Tresom,68382-520,8215525474,80,718,true,,GMC,14425 Sheridan Point,tz1PcFB6pDz6S4Wt4LK5QfSTvEbCUfLs4eBC
306,8218455426,Y-find,57520-0067,2145084185,70,802,true,1325,Ford,846 Commercial Drive,tz1UvMvAHw81gYgmDqqrhx3cCveToti1gvqV
600,0140427457,Mat Lam Tam,55154-5625,5754809433,78,344,false,7737,Dodge,673 Goodland Way,tz1TL9WhawLWgugRZorpMa2rLsJUTafM7cad
616,8295459643,Alpha,22557-001,1983619574,57,97,false,,Mazda,18 Montana Park,tz1XSNcLY4x7WpBnBaApSo7TrYgEawqUmcTx
856,4239570697,Job,21695-127,3391892935,62,724,true,,Mitsubishi,7 Forest Dale Lane,tz1U9kSeNZbwB9EBtKxqwhULxs5awZSxTfau
222,3432056923,Asoka,36987-1517,8466088199,69,594,false,,Ford,58040 Kings Place,tz1VEboiLb3SZ798M52gQf98xJsyjqeYx6d1
925,3756667936,Otcom,61657-0965,0540369543,89,636,false,262 56,Ford,86 Vera Place,tz1Ys2rKnGPNBA3wWB753DsU95xtVXphQknU
318,8741340434,Job,63354-320,0976821052,44,664,false,34-145,BMW,35 Arizona Crossing,tz1ZRbFvt9jnQwuke1UvBxxEfiCkxtLWm4Fg
742,5880233642,Tin,59800-8001,6730659858,75,952,true,3400-696,Mitsubishi,91 Colorado Trail,tz1MkreJDS67t817nGM9VzQfgv2A22RzfqYg
991,5122625093,Viva,10544-531,2292843269,47,531,false,,Volkswagen,88 Old Gate Center,tz1fm9giiGHFxF55nLksGPfP1KhByHheRAQk
537,3249862711,Vagram,63187-082,4266442181,48,271,false,,Cadillac,80 Portage Junction,tz1Npgn5PJHoqdZazBB4MEU1wkC2eFoBrqUt
138,7106519111,Namfix,50436-2899,4008127372,64,310,true,385,Bentley,8635 Moland Alley,tz1TpQ337aoVAfCThiK4Rqmk3gWCuDvDycen
10,7662209555,Konklab,54973-7509,3652150686,80,711,false,47500-000,Cadillac,69 Erie Crossing,tz1aKPgsCnCURSNYUbHkxhVSUgDmFwtn2Jyy
718,5641479160,Treeflex,26637-711,1639667083,52,898,true,357919,Jaguar,10 Ridge Oak Crossing,tz1gZ1NbMmXH3LWYrhmQubT3hnsLYEQVPsQR
364,3045703666,Y-find,55404-002,2631399854,70,111,true,,Isuzu,99 Golden Leaf Pass,tz1N6fhgeYcf6e4Bcr2K3CwMCF22qBKCVQYz
76,4117815288,Zoolab,51285-047,1971203998,31,764,false,,Buick,0652 Mosinee Plaza,tz1h3q25yLFVPtooi5pM2PouRVGKd1Poy4CZ
169,5505260926,Pannier,33261-342,0001086545,63,719,false,69200,Chevrolet,836 Clove Plaza,tz1LoC8J3Y3jua2rTkyX8AuQNFywQRoxRRSw
267,5175901214,Prodder,24338-850,1782942378,37,357,true,,Saab,60 Gina Lane,tz1WPX7rffdwqCtYJh36XGvUSk8F9gu1Te9p
752,3886026310,Home Ing,0179-0024,0397485611,86,151,false,,Mercury,9774 Acker Plaza,tz1S4sxPUHKtsWjVhohyLK2b8sKLkad5uoCE
929,3945013240,Voltsillam,54868-5704,6213663819,81,889,false,4186,Chevrolet,4 Schmedeman Road,tz1KrnDsEb9x5jWWk2dZbNbHsojTLhnXCvsa
949,1569623376,Voyatouch,0037-6010,8270596221,43,515,false,,Chevrolet,9 Carioca Avenue,tz1bWfAAkkHCcZbub4fM5wNHAx2fb2gvAiYY
420,3452258025,Prodder,11084-053,8018359121,41,92,true,,Ford,2746 Heffernan Street,tz1LhbZ1u2tspxZvFoKrgtnd4EzBFS9Gyrkd
984,9555577676,Bigtax,59630-320,3037803622,46,250,true,2420-005,Jeep,343 Longview Avenue,tz1SuutpcqD5u8omi7Mp7KWKsVJDGafYiuVD
991,5403123490,Fixflex,25010-814,7810351478,80,477,false,,Mazda,2947 Susan Drive,tz1VTjjQxdMnFKQgceVGrwLCf21cj63TAfvi
134,5306664814,Y-find,0378-5220,8706827640,78,962,false,,Mitsubishi,16374 Mendota Parkway,tz1a1fCKSP9kvxytyd6uuBotQzKuAjFNZLGP
860,2371659509,Stronghold,63629-3291,5493326256,70,136,false,386338,Ford,1086 Gateway Circle,tz1hysnvA4Gbz8RsesGRphqPi4KVbfwgpA2P
441,7816470045,Sonsing,68428-028,7233274193,57,775,false,,Mazda,0954 Helena Drive,tz1ZtvAy43rmFyAWLNWcUMqFH3UWPm65RexT
311,6540297823,Y-find,48951-8041,5916880243,43,330,true,187435,Oldsmobile,7 Oak Alley,tz1T9wyCENzpoBBVgEAQZ1Sa5ZhvyDeXb4UW
446,6152668948,Lotstring,63323-507,8990738601,79,207,false,,Land Rover,1 Donald Center,tz1RFLaebwqeM2ZDQQFpk53W3xCKXpiGB5jq
983,4654376097,Matsoft,14783-880,2567635831,84,182,true,78759,Suzuki,61 Green Ridge Pass,tz1XScNkLr894EBD5Kzr8pMj3CkAj5twMDTT
242,2887718622,Cookley,49035-317,3771028744,42,253,true,,Chrysler,3260 Daystar Court,tz1YNJqA4xpGsEfB8zQUN3aQZHkF8op1UGdz
804,7817112258,Zontrax,51079-498,2018828835,65,859,true,7090,GMC,61 Waywood Drive,tz1i9Ta4gB5AocSU8W3hcGj9ZMDFMLRVh8oo
336,4605442995,Stim,0574-7226,1774112051,45,934,false,5610,Ford,0605 Village Street,tz1LSu4bN8nuGgErzrb63ZJhJwnR1dhFu69s
726,7997436332,Stim,68788-9499,9476836997,72,208,false,,Toyota,89675 Oneill Pass,tz1ZRw4BP4ERM3N7hsrczgx55dGNvaFKb6wQ
445,6730634650,Bigtax,59779-998,1592190669,56,810,false,,Pontiac,652 Carberry Alley,tz1LJQfqBdBMzeffZPRSptJ3DcmiErMsDun4
475,3388264120,Duobam,68472-094,1591323037,30,122,true,3830-017,Cadillac,2 Clove Drive,tz1b3fjm5kzHoyy6SzPrQ8fZLPHZpFX6MxaH
295,6080190699,Cookley,42806-264,2357013427,44,551,true,63-001,Ford,067 Carberry Hill,tz1bWhYKB9vkUd78tLLa4KsatGjBaizB2Dq4
407,5262021182,Duobam,36800-618,2264493631,36,266,false,,Acura,48592 Bonner Crossing,tz1hEVLDjDyePGWjKxubgQr5UKYKrwkGBKPK
696,7365221542,Ventosanzap,68788-9868,4244805702,61,457,true,3015,Mazda,6136 Dwight Circle,tz1eYssWpkTQZX4kQwbTRZwy3Nmn2kqViXKE
681,3117129782,Redhold,60432-464,1953685536,62,358,false,,Acura,31221 Daystar Junction,tz1SXq5HuetWPjRM7CTAbtH7vdnf3v91kQpd
743,0783522576,Tres-Zap,41163-333,9560837842,51,936,false,601120,Infiniti,0045 Moland Lane,tz1Z2QBb94C1JfTUg48UJhiXBbgvwFcsrqkc
213,9148535753,Sub-Ex,64725-0351,8882297438,58,862,false,86000,Mazda,29 Claremont Alley,tz1Ysjdw13qJfkTvQLkg3adusrdAtCbeNqCf
408,0701767847,Keylex,68428-166,7791575159,76,263,false,09500-000,Chevrolet,1 David Crossing,tz1ZVo44r7X9DByZ8WLr1dHk6w9ZLJH2R6sc
289,4237514145,Stringtough,0591-0411,0178895946,72,950,true,,Lincoln,5028 Ilene Lane,tz1U2y9VpnpQcnukoJH96ToA61uSMzT6Bx4j
141,7914555215,Zontrax,68987-022,1426040504,55,767,false,,Infiniti,2 Scofield Center,tz1ihtmM1jpZ1k4uAXN82RLeXiPQuMaJWS3M
269,8079578540,Transcof,63354-800,8815754989,82,268,true,,Honda,68159 Oak Pass,tz1gSfGgAMsNYLkVRqFnEVv8UxxJxap2QAvt
109,9153016742,Greenlam,68016-382,9080770876,76,229,true,524039,Mercury,11937 Sunbrook Crossing,tz1Q5QHCmMEmSWnjrk9gqL2xSxDBhZKugB3k
572,9675757108,Tempsoft,60505-0268,7429187625,43,32,true,,Acura,9 Clyde Gallagher Pass,tz1cyv17NgKUvTfAVvo9WYdKnYfgQaoBf91j
225,0854649115,Veribet,33992-4951,7580629909,44,948,false,,Mazda,68211 Meadow Valley Center,tz1L45jtwAY8vRQMfFzg8SXKYY8d3bm7ZAYG
188,9912834771,Tampflex,59148-011,9903599110,80,639,true,,BMW,8780 Calypso Plaza,tz1ZBx1uwq8zfJHcuhZqzM1SM96wdQmMUzbz
90,3261521619,Wrapsafe,0603-4998,4385982961,51,449,true,,Kia,042 Bunker Hill Parkway,tz1eQnGmkQUBDWaoovmwuXGsF7Yqt6emDwsR
240,6874303708,Bamity,43742-0240,2161229443,69,874,true,,Ford,070 Springview Lane,tz1fVwUWAoxwp4UnYAJXSgDZSPjZMEZiUeML
606,5369380619,Ventosanzap,55289-492,3099282103,60,971,false,,Nissan,89 Waxwing Plaza,tz1XyGr2gboxoFWpUJJV4izB7mQ4FxBpz8hg
597,4768095828,Sonsing,67226-2140,3649661837,80,964,false,11120,Volkswagen,378 Menomonie Parkway,tz1ievjXkCgwWWKbP2NdnYxw8yAYy9zBnAUN
1,8040576873,Trippledex,55111-200,0666862281,36,482,true,,Ford,6 Canary Park,tz1hQYJKQhy4Wg3D4uyXiWxGWLQhHZL4rhcf
595,8464416172,Home Ing,64893-300,9389473179,51,877,false,,Lotus,4640 Express Drive,tz1NtWa3tYzbRrRYthW3HtK4dPnN3LEwfFPx
312,0162085303,Latlux,0268-0801,4174200181,37,252,false,582 46,Land Rover,057 Blue Bill Park Trail,tz1Mstoyc3DRt7z9gskRvad2QSC4PxfiNcE3
991,8408146718,Wrapsafe,61957-0401,6033309588,62,570,false,699-0103,Bentley,2009 Tennyson Center,tz1bp1TqUceJmzzHPbiutVPkxDZXz3WkAjvs
398,9144695004,Stringtough,36987-1011,5628879088,62,275,false,999-8201,Porsche,2282 Independence Way,tz1W72MfbZRoxuRiem4HXesfnr5EZVLQywW3
854,4992788742,Redhold,62742-4044,7271801553,77,891,true,789 83,Pontiac,3 Oak Hill,tz1R9XMEXV9TxfFLAY8RfXNeXe3XKG5fFM4i
739,8791859549,Fix San,54569-6401,6101967115,57,1000,false,15775-000,Dodge,51517 Hermina Crossing,tz1XT5ykJf9mB8xa5wyBDAd7umwjrV3Wo4pG
625,0972417893,Hatity,55037-201,7394035484,55,391,false,112 83,Mitsubishi,4 Laurel Parkway,tz1fy81qUk2bBEgyw2Tr71W2KrXaz5EtkPFj
492,2813072486,Tin,52642-001,8427361556,88,388,false,,Chrysler,3842 Vera Place,tz1WvXSoVVHWH5JAMg5bxFbncRY353bxZGmM
759,7686587576,Zoolab,56062-308,8290879121,56,239,true,55407,Ford,6116 Talmadge Center,tz1WDGBtirBtDBmHRwr39XPofLawvoLkgcy4
636,7878985898,Fix San,49483-080,2256386422,59,346,true,,Mazda,8 Westridge Drive,tz1PbGuKT4NVqvuPWM9UBUmoBeRYiKLAjvPn
262,8264104509,Flowdesk,54868-4531,8957653244,39,989,false,7209,Mazda,96737 Randy Plaza,tz1Ne4kjmG6dz1hwzojcvShaWwV2CSmq7d6H
93,3851973569,Treeflex,50563-164,9690398792,81,658,true,63-020,Infiniti,54 Buell Lane,tz1hNbei8Tx1V6SvLRYWAV3aEgYygoxfb3mE
175,3624129872,Tempsoft,63739-358,1001724135,69,994,true,,Ford,81478 Kenwood Point,tz1aCynkRmFocxM28cvukHrUYnxSMTfw4BKZ
647,1668231638,Wrapsafe,0093-5061,7328493259,64,111,false,,Jaguar,38359 Northport Point,tz1aRd1VsGqLswtvimwTsounyLyYgvYQcJjH
148,5317559421,Lotlux,60512-9062,8476995717,90,487,true,103 16,BMW,36 Lyons Hill,tz1P7ghK1GCtc4q78JySpSiZDk79daoZNhap
260,1847586155,Regrant,58737-113,8951892816,67,520,true,,Chevrolet,32808 Ilene Pass,tz1YLUwMSX9XRTjjJZZU2F4CHtcc5d6V49Qz
625,3165236119,Holdlamis,55910-120,3774235074,50,253,false,,Geo,4089 Mandrake Street,tz1f7ekn7gq1xvfWD1C4LQvuT4jNDFcUoniW
67,0920673899,Redhold,30142-902,1690078596,40,1,true,22184,Kia,1788 Redwing Lane,tz1W4Jp2acUhCoUUF3ka6pGs1fHqHu9hsDPz
